"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"GOBP_CELL_ADHESION",6.26220419520308e-05,0.0554205071275473,0.538434096309916,-0.539749095680715,-2.12836332495397,40,"FIBP;PSMA3;PKP1;ACTL6A;JUP;SMARCD1;UBASH3B;AP3D1;RCC2;DSP;TFRC;ARG1;ANXA2;S100A9;SMARCA2;AP3B1;ACTB;AZGP1;MYH10;MSN;CDSN;PRDX2;MYO1G;CORO1A;DSG1;ACTN4;DSC1;PPP1CB;FLG2","GOBP","UL"
"GOBP_CELL_CELL_ADHESION",0.000382940769433476,0.104550505794063,0.49849310876659,-0.56207764623798,-2.1181314345062,32,"FIBP;PSMA3;PKP1;ACTL6A;JUP;SMARCD1;UBASH3B;AP3D1;DSP;TFRC;ARG1;ANXA2;S100A9;SMARCA2;AP3B1","GOBP","UL"
"GOBP_CYTOPLASMIC_TRANSLATION",0.000477581605745313,0.104550505794063,0.49849310876659,0.533811155442568,1.74941441513254,70,"SYNCRIP;HNRNPU;RPS17;RPL9;RPL22;RPL23A;RPS3A;EIF2B4;RPL29;RPS26;RPS11;DRG1;RPS25;RPL35;EIF2S2;RPL26;RPL21;EEF1D;RPL17;RPL27;RPS14;RPS7;EPRS1;RPL37A;RPL28;RPS23;EIF2S3;RPL19;RPL11;RPS13;RPS4X;RPL13A;RPS16","GOBP","rGAL"
"GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION",0.00070075026621205,0.104550505794063,0.477270815362862,-0.677878278357267,-2.05196584688649,15,"PSMA3;PLRG1;ACTL6A;SMARCD1;PSME3;ANKRD17;EIF4G1;DDX3X;SMARCA2;ACTB","GOBP","UL"
"GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION",0.00070075026621205,0.104550505794063,0.477270815362862,-0.677878278357267,-2.05196584688649,15,"PSMA3;PLRG1;ACTL6A;SMARCD1;PSME3;ANKRD17;EIF4G1;DDX3X;SMARCA2;ACTB","GOBP","UL"
"GOBP_CELL_CYCLE_PHASE_TRANSITION",0.000708816988434327,0.104550505794063,0.477270815362862,-0.542388996969999,-1.99943287184458,29,"PSMA3;PLRG1;ACTL6A;SMARCD1;PSME3;RCC2;ANKRD17;EIF4G1;NPM1;DDX3X;SMARCA2;RFC4;PRPF19;CALM1;ACTB","GOBP","UL"
"GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",0.00107012610271535,0.135294514414727,0.45505986738723,-0.586952385463316,-1.99333228737841,22,"PSMA3;PLRG1;ACTL6A;SMARCD1;PSME3;RCC2;ANKRD17;EIF4G1;DDX3X;SMARCA2;CALM1;ACTB","GOBP","UL"
"GOBP_SKIN_DEVELOPMENT",0.00127494752634676,0.140280151046178,0.45505986738723,-0.63182177173471,-1.99036263107146,17,"HRNR;S100A7;PKP1;JUP;KPRP;DSP;MED1;AP3B1;FLG;TGM3;CASP14;TGM1;CDSN;NUMA1;DSC1;FLG2","GOBP","UL"
"GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",0.00146165319905966,0.140280151046178,0.45505986738723,-0.534041102870448,-1.93465945339779,27,"PSMA3;PLRG1;ACTL6A;SMARCD1;PSME3;RCC2;ANKRD17;EIF4G1;NPM1;DDX3X;SMARCA2;RFC4;PRPF19;ACTB","GOBP","UL"
"GOBP_REGULATION_OF_CELL_ADHESION",0.00158508645249919,0.140280151046178,0.45505986738723,-0.569683484062406,-2.00364642254749,24,"PSMA3;PKP1;ACTL6A;JUP;SMARCD1;UBASH3B;AP3D1;RCC2;TFRC;ARG1;SMARCA2;AP3B1;ACTB","GOBP","UL"
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",0.00222666106365377,0.160395138667727,0.431707695803346,-0.584067431952438,-1.94702961409446,20,"PSMA3;PLRG1;ACTL6A;SMARCD1;PSME3;RCC2;ANKRD17;EIF4G1;DDX3X;SMARCA2","GOBP","UL"
"GOBP_DESMOSOME_ORGANIZATION",0.0023141726271132,0.160395138667727,0.431707695803346,-0.869450585863253,-1.74829968558775,5,"PKP1;JUP;KPRP;DSP","GOBP","UL"
"GOBP_RNA_PROCESSING",0.00254995502416235,0.160395138667727,0.431707695803346,0.476106303303092,1.6038323542778,87,"HNRNPR;SRSF3;SYNCRIP;HNRNPU;GAR1;ALYREF;RPS17;SRSF1;SNRPD3;SNRPD2;RPS26;H1-3;ILF3;RPS25;EXOSC4;RPL35;HNRNPF;RPL26;CDK9;RPL27;KRR1;FAM32A;RPS14;SON;RPS7;SF3A3;DDX10;FBL;HNRNPK","GOBP","rGAL"
